url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/0dApY6YT48kTh6j9xFDQch,Bulwark pod songs,"5,034 saves",timmiller7777,https://open.spotify.com/user/timmiller7777
https://open.spotify.com/playlist/394HMXgyuum51RbfnmLYl9,Save a horse,"7,303 saves",Traci Hinkel Gesell,https://open.spotify.com/user/31jpv57co5qrkmnamxiieemo5zje
https://open.spotify.com/playlist/4izVJx4c1x3YpKq8lpj43i,Red Dirt Country,"7,557 saves",kylefordet,https://open.spotify.com/user/31k6oywwe7ocfxgmv5m7iqn2lgde
https://open.spotify.com/playlist/37X2EK2WObGWWfiOM23ntk,Bet God Heard You Coming,"2,614 saves",Fuegostine,https://open.spotify.com/user/fuegostine
https://open.spotify.com/playlist/2G0mb9Q5qYe0OehptXKLAL,Indie Country Music,"5,237 saves",Ian Andrew Cloak,https://open.spotify.com/user/31qr6jhosjzgw3df5h43ql6fjuje
https://open.spotify.com/playlist/5I1gO5Ke2zlQpafppfNySG,Best of Jason Isbell,"6,478 saves",islandsound,https://open.spotify.com/user/islandsound
https://open.spotify.com/playlist/6VlG2JzqhjZDlFmMWtPSy2,Southeastern Collection: Jason Isbell and the 400 unit,"6,858 saves",Jason Isbell and the 400 Unit,https://open.spotify.com/user/jasonisbellandthe400unit
https://open.spotify.com/playlist/1kqCALgdHjjrnC2NMWaDyX,Bad Monkey: The Official Playlist,"1,505 saves",WaterTower Music,https://open.spotify.com/user/watertower_music
https://open.spotify.com/playlist/1eKlW13mR6tXu31h3BNViQ,Outlaw/Folk/Americana Country,"5,385 saves",Rogers,https://open.spotify.com/user/asmr100
https://open.spotify.com/playlist/5WD2Y2WUsyh1tRrWE1nNYq,quiet fall mornings,"1,505 saves",Megan McAllister,https://open.spotify.com/user/cals-lane
https://open.spotify.com/playlist/6jKKmDUKLNaFgXLtweWJkV,"slow, sad, sleepy songs aka my sleep playlist","3,086 saves",shebutnothercusillneverbeher,https://open.spotify.com/user/y89tgmco2043cnlcrzh5yon4w
https://open.spotify.com/playlist/5I1gO5Ke2zlQpafppfNySG,Best of Jason Isbell,"6,478 saves",islandsound,https://open.spotify.com/user/islandsound
https://open.spotify.com/playlist/1eKlW13mR6tXu31h3BNViQ,Outlaw/Folk/Americana Country,"5,385 saves",Rogers,https://open.spotify.com/user/asmr100
https://open.spotify.com/playlist/5SYfP24TW8krXwBM9wT7Pp,Kamala Harris Campaign Playlist,"11,297 saves",Zachariah Tollison,https://open.spotify.com/user/1279940683
https://open.spotify.com/playlist/1EGWjzRjIi2Ur7oOIi2yaS,sad ass depressing country music :/,"5,934 saves",laly,https://open.spotify.com/user/zitlaly_dd222
https://open.spotify.com/playlist/2U8QRyngWKIjXdDKWecKUk,Fall classroom playlist,"1,779 saves",myrthe,https://open.spotify.com/user/21577hrpn2hf32v6pmgaul3pq
https://open.spotify.com/playlist/4DYgUg5xIag2OIe10HjdfB,crying my heart out 💔,"14,090 saves",Arjola,https://open.spotify.com/user/rhbpbjtmoy62jqvuj6fluefbw
https://open.spotify.com/playlist/2odHyCcR1jNFtpEOhf4bir,Country Mix,"33,550 saves",MRNA,https://open.spotify.com/user/314onev5qy2jfqfduct6awl3usqe
https://open.spotify.com/playlist/2RtMTHcoszDiEZy30fRjdM,Back Porch Summer Evenings,"3,797 saves",Ryan P Phillips,https://open.spotify.com/user/oscu9cxv9i5ul52ptijwh8uvd
https://open.spotify.com/playlist/255yB7xlzBifP5PJO23k1C,songs we heard at the DNC,"11,824 saves",washingtonpost,https://open.spotify.com/user/washingtonpost
https://open.spotify.com/playlist/2LPoM0UfDK5gfqK9YEXAKI,Yellowstone Soundtrack - All Seasons,"13,805 saves",New West Records,https://open.spotify.com/user/newwestrecords
https://open.spotify.com/playlist/3nUKyILIoOkmLrcrvemEJq,Americana & Folk,"5,960 saves",Genesis Ritchot,https://open.spotify.com/user/dr.genesis
https://open.spotify.com/playlist/0dApY6YT48kTh6j9xFDQch,Bulwark pod songs,"5,034 saves",timmiller7777,https://open.spotify.com/user/timmiller7777
https://open.spotify.com/playlist/394HMXgyuum51RbfnmLYl9,Save a horse,"7,303 saves",Traci Hinkel Gesell,https://open.spotify.com/user/31jpv57co5qrkmnamxiieemo5zje
https://open.spotify.com/playlist/4izVJx4c1x3YpKq8lpj43i,Red Dirt Country,"7,557 saves",kylefordet,https://open.spotify.com/user/31k6oywwe7ocfxgmv5m7iqn2lgde
https://open.spotify.com/playlist/37X2EK2WObGWWfiOM23ntk,Bet God Heard You Coming,"2,614 saves",Fuegostine,https://open.spotify.com/user/fuegostine
https://open.spotify.com/playlist/2G0mb9Q5qYe0OehptXKLAL,Indie Country Music,"5,237 saves",Ian Andrew Cloak,https://open.spotify.com/user/31qr6jhosjzgw3df5h43ql6fjuje
https://open.spotify.com/playlist/5I1gO5Ke2zlQpafppfNySG,Best of Jason Isbell,"6,478 saves",islandsound,https://open.spotify.com/user/islandsound
https://open.spotify.com/playlist/0F9do6r8RAbi9fiZ7IngRe,Blue Collar/Working man songs,"6,828 saves",Jarod Jackson,https://open.spotify.com/user/1299200599
https://open.spotify.com/playlist/1Cwc2ou04K3f7FXHRaK741,Drive-By Truckers Complete Discography,"1,560 saves",ATO Records,https://open.spotify.com/user/atorecords
https://open.spotify.com/playlist/1eKlW13mR6tXu31h3BNViQ,Outlaw/Folk/Americana Country,"5,385 saves",Rogers,https://open.spotify.com/user/asmr100
https://open.spotify.com/playlist/69DuHrVHflBOYGXbBtd4b1,Gritty Outlaw Country,"9,895 saves",daulton.jefferies,https://open.spotify.com/user/12130451422
