url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/1uenmlPWR4PmnvTVZLZpEP,SUITS - La ley de los audaces,"20,592 saves",Stephan Würth Pino-Ichazo,https://open.spotify.com/user/12139763782
https://open.spotify.com/playlist/43GoRTvqLvZOwp74AQL9Lk,The Best Of Suits,"20,984 saves",Marco Simôr,https://open.spotify.com/user/12163967701
https://open.spotify.com/playlist/7grb5gRSX0zR1aLknJUzIk,Soft Pop hit 90s 00s 10s,"7,712 saves",Christophe fortier,https://open.spotify.com/user/22z2fnv7v7ouhflw3bosyjasy
https://open.spotify.com/playlist/5jSt48dtgBEE2toFn4RT93,🍂Automne Cosy🍁,"1,035 saves",Minidou,https://open.spotify.com/user/dnwqezcut1ufrl5xz7b6yybwq
https://open.spotify.com/playlist/5mk0aJSoCdkmwoC2cPI01I,Harvey Specter Vibes,"49,862 saves",Noel,https://open.spotify.com/user/1150230292
https://open.spotify.com/playlist/0ffCTVtD32MEjg6QGbjg9N,Harvey Specter Playlist Vol. 5 | Specter Vibes,"1,387 saves",SpecterVibes,https://open.spotify.com/user/0j4yov6qo5uk27o816fsutlge
https://open.spotify.com/playlist/2I2eh7H5VAGrpHo0H6izEm,THE BEST OF SUITS SOUNDTRACK,"1,475 saves",Gue Vieira,https://open.spotify.com/user/guevieira
https://open.spotify.com/playlist/6DfhByt1eSLdKzsigmOlQG,"Cooking, Drinking, & Dinner with Friends | Soul • Classic Rock • Indie • Acoustic","1,630 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/5bR2oXeWXCbww1T0vqaUeF,Whiskey Blues Music | Best Of Slow Blues Rock Ballads | Fantastic Electric Guitar Blues,"17,175 saves",🦖,https://open.spotify.com/user/31sldgzyft3abpaswv4mkneybzge
https://open.spotify.com/playlist/0PpqRpjC3DB1Ac2g31Bz3g,Lawyer vibes,"1,445 saves",kenzhard,https://open.spotify.com/user/kenzikay2014
https://open.spotify.com/playlist/6nNC077uL9u2hy5UKBtB8N,Suits Soundtrack [All Seasons],"151,133 saves",Lo Fi Hip-Hop & Chill Music,https://open.spotify.com/user/f23fx082ne9tagrkqva7fausi
https://open.spotify.com/playlist/1IJizpx2pKJROAbU4Mqgfn,Indie Soul Vibes | Retro Soul • Feel Good • New Funk • Retro Pop,"14,278 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6eoW6a4c8Bu2U7Grw5KSgG,@specter.br,"2,271 saves",@specter.br,https://open.spotify.com/user/kjhlrbu89ujclep75b7dfuota
https://open.spotify.com/playlist/5LWOUeU4MyUWwL6B5s2GB8,Cafe Jazz,"5,529 saves",garylauzon,https://open.spotify.com/user/garylauzon
https://open.spotify.com/playlist/1AO6vIrhas5s7d9Z0vU6nL,Roadtrip USA🚍🇺🇸😎,"10,441 saves",H,https://open.spotify.com/user/ashleypesce09
https://open.spotify.com/playlist/3i85OZp17tSPHmvk1W8RSi,Good Morning! Wake Up Happy • Classics • Soul • Indie • Folk • Rock • Feel Good • Coffee • Sunshine,"57,241 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/5oibmUfHkuC2AGKpZWPfYI,"Harvey Specter Vibes, Suits","11,811 saves",Chris Bo,https://open.spotify.com/user/21woite5u4kfmyluvpigt3pli
https://open.spotify.com/playlist/4OCojqiyTEKI3h3ytHPBah,Suits Soundtrack (Best of),"15,924 saves",syd2004-de,https://open.spotify.com/user/syd2004-de
https://open.spotify.com/playlist/2xjhiANRVfUwXIOFFYn6YV,Harvey Specter Ultimate Playlist,"35,577 saves",Charlie Dimaala,https://open.spotify.com/user/22qcadht6d5v3lgjkttqthdvi
https://open.spotify.com/playlist/40dlMSBAloq3r0Tux5gBIh,Bobby Bazini | Complete Collection,"1,994 saves",bobbybazini,https://open.spotify.com/user/bobbybazini
https://open.spotify.com/playlist/332MRa6ERc110p6mp7TZQC,Best of SUITS Songs,"5,196 saves",Adrian Harsono,https://open.spotify.com/user/21wmro3ylffgolbqzail4a5uq
https://open.spotify.com/playlist/6dxwa2bc1sOB1R1k1zJqGr,"Sunday Soul, Jazz, & Blues Brunch","5,662 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/1YXADreWIG0vL2JV2lJWrh,Autumn Chill • Fall Vibes • Warm • Cozy • Coffee • Folk • Acoustic • Indie • Soul,"19,258 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6DCp5vDaKuthilJ1A98C9e,Suits Playlist,"9,601 saves",Manu Coens,https://open.spotify.com/user/qycmek84rc08fmcnfw964g3jk
https://open.spotify.com/playlist/1uenmlPWR4PmnvTVZLZpEP,SUITS - La ley de los audaces,"20,592 saves",Stephan Würth Pino-Ichazo,https://open.spotify.com/user/12139763782
https://open.spotify.com/playlist/43GoRTvqLvZOwp74AQL9Lk,The Best Of Suits,"20,984 saves",Marco Simôr,https://open.spotify.com/user/12163967701
https://open.spotify.com/playlist/7grb5gRSX0zR1aLknJUzIk,Soft Pop hit 90s 00s 10s,"7,712 saves",Christophe fortier,https://open.spotify.com/user/22z2fnv7v7ouhflw3bosyjasy
https://open.spotify.com/playlist/5jSt48dtgBEE2toFn4RT93,🍂Automne Cosy🍁,"1,035 saves",Minidou,https://open.spotify.com/user/dnwqezcut1ufrl5xz7b6yybwq
https://open.spotify.com/playlist/5mk0aJSoCdkmwoC2cPI01I,Harvey Specter Vibes,"49,862 saves",Noel,https://open.spotify.com/user/1150230292
https://open.spotify.com/playlist/0ffCTVtD32MEjg6QGbjg9N,Harvey Specter Playlist Vol. 5 | Specter Vibes,"1,387 saves",SpecterVibes,https://open.spotify.com/user/0j4yov6qo5uk27o816fsutlge
https://open.spotify.com/playlist/2I2eh7H5VAGrpHo0H6izEm,THE BEST OF SUITS SOUNDTRACK,"1,475 saves",Gue Vieira,https://open.spotify.com/user/guevieira
https://open.spotify.com/playlist/6DfhByt1eSLdKzsigmOlQG,"Cooking, Drinking, & Dinner with Friends | Soul • Classic Rock • Indie • Acoustic","1,630 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/5bR2oXeWXCbww1T0vqaUeF,Whiskey Blues Music | Best Of Slow Blues Rock Ballads | Fantastic Electric Guitar Blues,"17,175 saves",🦖,https://open.spotify.com/user/31sldgzyft3abpaswv4mkneybzge
https://open.spotify.com/playlist/0PpqRpjC3DB1Ac2g31Bz3g,Lawyer vibes,"1,445 saves",kenzhard,https://open.spotify.com/user/kenzikay2014
https://open.spotify.com/playlist/6nNC077uL9u2hy5UKBtB8N,Suits Soundtrack [All Seasons],"151,133 saves",Lo Fi Hip-Hop & Chill Music,https://open.spotify.com/user/f23fx082ne9tagrkqva7fausi
https://open.spotify.com/playlist/1IJizpx2pKJROAbU4Mqgfn,Indie Soul Vibes | Retro Soul • Feel Good • New Funk • Retro Pop,"14,278 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6eoW6a4c8Bu2U7Grw5KSgG,@specter.br,"2,271 saves",@specter.br,https://open.spotify.com/user/kjhlrbu89ujclep75b7dfuota
https://open.spotify.com/playlist/5LWOUeU4MyUWwL6B5s2GB8,Cafe Jazz,"5,529 saves",garylauzon,https://open.spotify.com/user/garylauzon
https://open.spotify.com/playlist/1AO6vIrhas5s7d9Z0vU6nL,Roadtrip USA🚍🇺🇸😎,"10,441 saves",H,https://open.spotify.com/user/ashleypesce09
https://open.spotify.com/playlist/3i85OZp17tSPHmvk1W8RSi,Good Morning! Wake Up Happy • Classics • Soul • Indie • Folk • Rock • Feel Good • Coffee • Sunshine,"57,241 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/5oibmUfHkuC2AGKpZWPfYI,"Harvey Specter Vibes, Suits","11,811 saves",Chris Bo,https://open.spotify.com/user/21woite5u4kfmyluvpigt3pli
https://open.spotify.com/playlist/4OCojqiyTEKI3h3ytHPBah,Suits Soundtrack (Best of),"15,924 saves",syd2004-de,https://open.spotify.com/user/syd2004-de
https://open.spotify.com/playlist/2xjhiANRVfUwXIOFFYn6YV,Harvey Specter Ultimate Playlist,"35,577 saves",Charlie Dimaala,https://open.spotify.com/user/22qcadht6d5v3lgjkttqthdvi
https://open.spotify.com/playlist/40dlMSBAloq3r0Tux5gBIh,Bobby Bazini | Complete Collection,"1,994 saves",bobbybazini,https://open.spotify.com/user/bobbybazini
https://open.spotify.com/playlist/332MRa6ERc110p6mp7TZQC,Best of SUITS Songs,"5,196 saves",Adrian Harsono,https://open.spotify.com/user/21wmro3ylffgolbqzail4a5uq
https://open.spotify.com/playlist/6dxwa2bc1sOB1R1k1zJqGr,"Sunday Soul, Jazz, & Blues Brunch","5,662 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/1YXADreWIG0vL2JV2lJWrh,Autumn Chill • Fall Vibes • Warm • Cozy • Coffee • Folk • Acoustic • Indie • Soul,"19,258 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6DCp5vDaKuthilJ1A98C9e,Suits Playlist,"9,601 saves",Manu Coens,https://open.spotify.com/user/qycmek84rc08fmcnfw964g3jk
https://open.spotify.com/playlist/1uenmlPWR4PmnvTVZLZpEP,SUITS - La ley de los audaces,"20,592 saves",Stephan Würth Pino-Ichazo,https://open.spotify.com/user/12139763782
https://open.spotify.com/playlist/43GoRTvqLvZOwp74AQL9Lk,The Best Of Suits,"20,984 saves",Marco Simôr,https://open.spotify.com/user/12163967701
https://open.spotify.com/playlist/7grb5gRSX0zR1aLknJUzIk,Soft Pop hit 90s 00s 10s,"7,712 saves",Christophe fortier,https://open.spotify.com/user/22z2fnv7v7ouhflw3bosyjasy
https://open.spotify.com/playlist/5jSt48dtgBEE2toFn4RT93,🍂Automne Cosy🍁,"1,035 saves",Minidou,https://open.spotify.com/user/dnwqezcut1ufrl5xz7b6yybwq
https://open.spotify.com/playlist/5mk0aJSoCdkmwoC2cPI01I,Harvey Specter Vibes,"49,862 saves",Noel,https://open.spotify.com/user/1150230292
https://open.spotify.com/playlist/0ffCTVtD32MEjg6QGbjg9N,Harvey Specter Playlist Vol. 5 | Specter Vibes,"1,387 saves",SpecterVibes,https://open.spotify.com/user/0j4yov6qo5uk27o816fsutlge
https://open.spotify.com/playlist/2I2eh7H5VAGrpHo0H6izEm,THE BEST OF SUITS SOUNDTRACK,"1,475 saves",Gue Vieira,https://open.spotify.com/user/guevieira
https://open.spotify.com/playlist/6DfhByt1eSLdKzsigmOlQG,"Cooking, Drinking, & Dinner with Friends | Soul • Classic Rock • Indie • Acoustic","1,630 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/5bR2oXeWXCbww1T0vqaUeF,Whiskey Blues Music | Best Of Slow Blues Rock Ballads | Fantastic Electric Guitar Blues,"17,175 saves",🦖,https://open.spotify.com/user/31sldgzyft3abpaswv4mkneybzge
https://open.spotify.com/playlist/0PpqRpjC3DB1Ac2g31Bz3g,Lawyer vibes,"1,445 saves",kenzhard,https://open.spotify.com/user/kenzikay2014
https://open.spotify.com/playlist/6nNC077uL9u2hy5UKBtB8N,Suits Soundtrack [All Seasons],"151,133 saves",Lo Fi Hip-Hop & Chill Music,https://open.spotify.com/user/f23fx082ne9tagrkqva7fausi
https://open.spotify.com/playlist/1IJizpx2pKJROAbU4Mqgfn,Indie Soul Vibes | Retro Soul • Feel Good • New Funk • Retro Pop,"14,278 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6eoW6a4c8Bu2U7Grw5KSgG,@specter.br,"2,271 saves",@specter.br,https://open.spotify.com/user/kjhlrbu89ujclep75b7dfuota
https://open.spotify.com/playlist/5LWOUeU4MyUWwL6B5s2GB8,Cafe Jazz,"5,529 saves",garylauzon,https://open.spotify.com/user/garylauzon
https://open.spotify.com/playlist/1AO6vIrhas5s7d9Z0vU6nL,Roadtrip USA🚍🇺🇸😎,"10,441 saves",H,https://open.spotify.com/user/ashleypesce09
https://open.spotify.com/playlist/3i85OZp17tSPHmvk1W8RSi,Good Morning! Wake Up Happy • Classics • Soul • Indie • Folk • Rock • Feel Good • Coffee • Sunshine,"57,241 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/5oibmUfHkuC2AGKpZWPfYI,"Harvey Specter Vibes, Suits","11,811 saves",Chris Bo,https://open.spotify.com/user/21woite5u4kfmyluvpigt3pli
https://open.spotify.com/playlist/4OCojqiyTEKI3h3ytHPBah,Suits Soundtrack (Best of),"15,924 saves",syd2004-de,https://open.spotify.com/user/syd2004-de
https://open.spotify.com/playlist/2xjhiANRVfUwXIOFFYn6YV,Harvey Specter Ultimate Playlist,"35,577 saves",Charlie Dimaala,https://open.spotify.com/user/22qcadht6d5v3lgjkttqthdvi
https://open.spotify.com/playlist/40dlMSBAloq3r0Tux5gBIh,Bobby Bazini | Complete Collection,"1,994 saves",bobbybazini,https://open.spotify.com/user/bobbybazini
https://open.spotify.com/playlist/332MRa6ERc110p6mp7TZQC,Best of SUITS Songs,"5,196 saves",Adrian Harsono,https://open.spotify.com/user/21wmro3ylffgolbqzail4a5uq
https://open.spotify.com/playlist/6dxwa2bc1sOB1R1k1zJqGr,"Sunday Soul, Jazz, & Blues Brunch","5,662 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/1YXADreWIG0vL2JV2lJWrh,Autumn Chill • Fall Vibes • Warm • Cozy • Coffee • Folk • Acoustic • Indie • Soul,"19,258 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6DCp5vDaKuthilJ1A98C9e,Suits Playlist,"9,601 saves",Manu Coens,https://open.spotify.com/user/qycmek84rc08fmcnfw964g3jk
https://open.spotify.com/playlist/1uenmlPWR4PmnvTVZLZpEP,SUITS - La ley de los audaces,"20,592 saves",Stephan Würth Pino-Ichazo,https://open.spotify.com/user/12139763782
https://open.spotify.com/playlist/43GoRTvqLvZOwp74AQL9Lk,The Best Of Suits,"20,984 saves",Marco Simôr,https://open.spotify.com/user/12163967701
https://open.spotify.com/playlist/7grb5gRSX0zR1aLknJUzIk,Soft Pop hit 90s 00s 10s,"7,712 saves",Christophe fortier,https://open.spotify.com/user/22z2fnv7v7ouhflw3bosyjasy
https://open.spotify.com/playlist/5jSt48dtgBEE2toFn4RT93,🍂Automne Cosy🍁,"1,035 saves",Minidou,https://open.spotify.com/user/dnwqezcut1ufrl5xz7b6yybwq
https://open.spotify.com/playlist/5mk0aJSoCdkmwoC2cPI01I,Harvey Specter Vibes,"49,862 saves",Noel,https://open.spotify.com/user/1150230292
https://open.spotify.com/playlist/0ffCTVtD32MEjg6QGbjg9N,Harvey Specter Playlist Vol. 5 | Specter Vibes,"1,387 saves",SpecterVibes,https://open.spotify.com/user/0j4yov6qo5uk27o816fsutlge
https://open.spotify.com/playlist/2I2eh7H5VAGrpHo0H6izEm,THE BEST OF SUITS SOUNDTRACK,"1,475 saves",Gue Vieira,https://open.spotify.com/user/guevieira
https://open.spotify.com/playlist/6DfhByt1eSLdKzsigmOlQG,"Cooking, Drinking, & Dinner with Friends | Soul • Classic Rock • Indie • Acoustic","1,630 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/5bR2oXeWXCbww1T0vqaUeF,Whiskey Blues Music | Best Of Slow Blues Rock Ballads | Fantastic Electric Guitar Blues,"17,175 saves",🦖,https://open.spotify.com/user/31sldgzyft3abpaswv4mkneybzge
https://open.spotify.com/playlist/0PpqRpjC3DB1Ac2g31Bz3g,Lawyer vibes,"1,445 saves",kenzhard,https://open.spotify.com/user/kenzikay2014
https://open.spotify.com/playlist/6nNC077uL9u2hy5UKBtB8N,Suits Soundtrack [All Seasons],"151,133 saves",Lo Fi Hip-Hop & Chill Music,https://open.spotify.com/user/f23fx082ne9tagrkqva7fausi
https://open.spotify.com/playlist/1IJizpx2pKJROAbU4Mqgfn,Indie Soul Vibes | Retro Soul • Feel Good • New Funk • Retro Pop,"14,278 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6eoW6a4c8Bu2U7Grw5KSgG,@specter.br,"2,271 saves",@specter.br,https://open.spotify.com/user/kjhlrbu89ujclep75b7dfuota
https://open.spotify.com/playlist/5LWOUeU4MyUWwL6B5s2GB8,Cafe Jazz,"5,529 saves",garylauzon,https://open.spotify.com/user/garylauzon
https://open.spotify.com/playlist/1AO6vIrhas5s7d9Z0vU6nL,Roadtrip USA🚍🇺🇸😎,"10,441 saves",H,https://open.spotify.com/user/ashleypesce09
https://open.spotify.com/playlist/3i85OZp17tSPHmvk1W8RSi,Good Morning! Wake Up Happy • Classics • Soul • Indie • Folk • Rock • Feel Good • Coffee • Sunshine,"57,241 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/5oibmUfHkuC2AGKpZWPfYI,"Harvey Specter Vibes, Suits","11,811 saves",Chris Bo,https://open.spotify.com/user/21woite5u4kfmyluvpigt3pli
https://open.spotify.com/playlist/4OCojqiyTEKI3h3ytHPBah,Suits Soundtrack (Best of),"15,924 saves",syd2004-de,https://open.spotify.com/user/syd2004-de
https://open.spotify.com/playlist/2xjhiANRVfUwXIOFFYn6YV,Harvey Specter Ultimate Playlist,"35,577 saves",Charlie Dimaala,https://open.spotify.com/user/22qcadht6d5v3lgjkttqthdvi
https://open.spotify.com/playlist/40dlMSBAloq3r0Tux5gBIh,Bobby Bazini | Complete Collection,"1,994 saves",bobbybazini,https://open.spotify.com/user/bobbybazini
https://open.spotify.com/playlist/332MRa6ERc110p6mp7TZQC,Best of SUITS Songs,"5,196 saves",Adrian Harsono,https://open.spotify.com/user/21wmro3ylffgolbqzail4a5uq
https://open.spotify.com/playlist/6dxwa2bc1sOB1R1k1zJqGr,"Sunday Soul, Jazz, & Blues Brunch","5,662 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/1YXADreWIG0vL2JV2lJWrh,Autumn Chill • Fall Vibes • Warm • Cozy • Coffee • Folk • Acoustic • Indie • Soul,"19,258 saves",Retro Tones,https://open.spotify.com/user/o16a7ny37b9026pxfoqc4rhe1
https://open.spotify.com/playlist/6DCp5vDaKuthilJ1A98C9e,Suits Playlist,"9,601 saves",Manu Coens,https://open.spotify.com/user/qycmek84rc08fmcnfw964g3jk
https://open.spotify.com/playlist/1uenmlPWR4PmnvTVZLZpEP,SUITS - La ley de los audaces,"20,592 saves",Stephan Würth Pino-Ichazo,https://open.spotify.com/user/12139763782
https://open.spotify.com/playlist/43GoRTvqLvZOwp74AQL9Lk,The Best Of Suits,"20,984 saves",Marco Simôr,https://open.spotify.com/user/12163967701
https://open.spotify.com/playlist/7grb5gRSX0zR1aLknJUzIk,Soft Pop hit 90s 00s 10s,"7,712 saves",Christophe fortier,https://open.spotify.com/user/22z2fnv7v7ouhflw3bosyjasy
https://open.spotify.com/playlist/5jSt48dtgBEE2toFn4RT93,🍂Automne Cosy🍁,"1,035 saves",Minidou,https://open.spotify.com/user/dnwqezcut1ufrl5xz7b6yybwq
https://open.spotify.com/playlist/5mk0aJSoCdkmwoC2cPI01I,Harvey Specter Vibes,"49,862 saves",Noel,https://open.spotify.com/user/1150230292
https://open.spotify.com/playlist/0ffCTVtD32MEjg6QGbjg9N,Harvey Specter Playlist Vol. 5 | Specter Vibes,"1,387 saves",SpecterVibes,https://open.spotify.com/user/0j4yov6qo5uk27o816fsutlge
